LEMMA,TAG,PRECEDING,CONSTRUCTION,FOLLOWING,CONSTRUCTION_NAME,CONSTRUCTION_DETAILS,PERSONAL_NAME,ANIMACY (PSR),ANIMACY (PSE),ALIENABILITY,POSSESSIVE (?),,Word order,,,
maður,nkfþ,Guðmundur prestur gerðist þá svo mikill trúmaður í bænahaldi og tíðagerð og örlæti og harðlífi að sumum,mönnum,þótti halda við vanstilli og ætluðu að hann mundi eigi bera mega allt saman,pre-dat,að,,,,,X,,,,,
kona,nvfþ,Eigi munuð þér þurfa hér að leita Sturlu undir tjöld eða veggi að stanga og er það mitt hugboð að til meira dragi um yður skipti áður létti en þótt þér hafið hér unnið á,konum,og verkmönnum,pre-dat,á,,,,,X,,,,,
hönd,nvfe,til,handa,Þorsteini og kvað hann verið hafa sinn fjörgjafa,pre-gen,til,,,,,X,gov (til),,,,
maður,nkfe,Oddur brá þá við skjótt og reið vestur eftir þeim með sex tigi,manna,,gen,na,,,,,PART - 60,,,,,
maður,nkfe,Mundi það og mál,manna,í Noregi eða annars staðar þar sem þú ert mest ágættur af hreystiverkum að þér væri lítilræði í að skipta höggum við Vatnsdæla þó að þú dræpir hvern að öðrum,gen,na,,Y,N,Abs,,,2,,,
vor,nheþ,Það skal þessu fylgja að þú skalt fara brott úr Víðidal að,vori,og vera eigi vistum milli Jökulsár í Skagafirði og Hrútafjarðarár og ætla þér aldrei síðan að deila kappi við oss bræður,pre-dat,að,,,,,X,,,,,
hús,nhee,Vésteinn gekk þar til,húss,og ljær hann honum hest,pre-gen,til,,,,,X,gov (til),,,,
konungur,nkee,En er Upplendingar spurðu andlát Ólafs,konungs,þá tóku þeir til konungs Hákon Þórisfóstra,gen,s,,Y,N,Abs,,,2,,,
mál,nhee,En er hann tók til,máls,mælti hann,pre-gen,til,,,,,X,gov (til),,,,
konungur,nkeþ,Þá sagði konungur að Sveinn og allir hans félagar skyldu útlagir fara en við bæn allra manna fékkst það af,konungi,að þeir skyldu hafa landsvist og eignir sínar en sárið bótalaust,pre-dat,af,,,,,X,,,,,
þing,nheþ,Mörður tók vænlega á og veik undir Gissur hinn hvíta og bað tala um á,þingi,,pre-dat,á,,,,,X,,,,,
mál,nhfþ,Þeir veittust að öllum,málum,,pre-dat,að,,,,,X,,,,,
dagur,nkeþ,Það bar til á einhverjum,degi,að Grettir sat í búð nokkurri og drakk því að hann vildi eigi verða fyrir Gunnari,pre-dat,á,,,,,X,,,,,
bak,nheþ,Hann hafði þá allt eitt atriðið að hann þreif í hjálminn vinstri hendi og svipti víkinginum af,baki,en hægri hendi brá hann saxinu er hann var gyrður með og setti á hálsinn svo af tók höfuðið,pre-dat,af,,Y,Y,N,,,,,,
hönd,nveþ,Hann hafði í,hendi,spjót og gullrekinn falurinn á,pre-dat,í,,Y,Y,N,,,,,,
ráð,nhee,leitar nú,ráðs,,gen,s,,,,,X,gov (verb),,,,
skip,nhfþ,létu austurfararknörruna liggja út frá öðrum,skipum,,pre-dat,frá,,,,,X,,,,,
skip,nheþ,» Glúmur fór á,skipi,inn eftir firði og gekk á land og til búða,pre-dat,á,,,,,X,,,,,
bær,nkee,Er eigi sagt frá ferð þeirra fyrr en þeir koma til,bæjar,Atla í Otradal,pre-gen,til,,,,,X,gov (til),,,,
þing,nheþ,Guðmundur biskup reið og vestur af,þingi,,pre-dat,af,,,,,X,,,,,
skip,nheeg,Hann gengur nú aftur til,skipsins,og leggst niður,pre-gen,til,,,,,X,gov (til),,,,
fótur,nkeþ,Hann var svo skjótur á,fæti,að engi hestur tók hann,pre-dat,á,,Y,Y,N,,,,,,
sök,nvfe,Það var eitt sumar er hann kom út í Eyjafirði að Arngrímur bauð honum eigi til sín og mælti ekki við hann þótt þeir sæjust og fann það til,saka,að hann hefði fleira talað við Þórdísi konu hans en skaplegt væri,pre-gen,til,,,,,X,gov (til),,,,
sumar,nheþ,Er nú ákveðin brullaupsstefna í Hjarðarholti þá er fimm vikur eru af,sumri,,pre-dat,af,,,,,X,,,,,
fótur,nkfþ,Í blárri kápu var hann og kálfskinnsskúar loðnir á,fótum,því að frost mikið var og kuldi,pre-dat,á,,Y,Y,N,,,,,,
maður,nkee,svo í Bárðardal og átu dagverð þar í dalinum að þess,manns,er Áslákur hét,gen,s,,Y,N,N,,,2,,,
bróðir,nkfþ,En þess mun mig síst vara af yður,bræðrum,að þér munduð með her fara í móti mér,pre-dat,af,,,,,X,,,,,
faðir,nkee,« Vitni munum vér fram bera konungur um þetta mál og láta eiða fylgja að það var til skilið í sætt þeirra Þóris,föður,míns og Bjarnar að Ásgerður,gen,ur,,Y,Y,N,,,2,,,
skip,nhfe,bað þá leggja fram betur hið mikla skipið og láta það eigi aftast vera allra,skipa,í herinum,gen,a,,N,N,Abs,,,2,,,
sverð,nheþg,Í því kemur Þorsteinn að og höggur af henni höndina með,sverðinu,Skjaldvararnaut,pre-dat,af,,,,,X,,,,,
hönd,nvfþ,« Því mun eg játa er þú gerir og fel eg þér á,höndum,allan vanda,pre-dat,á,,,,,X,,,,,
bær,nkeeg,Honum kom þá það í hug að nokkurir boðsmenn mundu hafa riðið fyrir heim til,bæjarins,og riðið síðan aftur í móti þeim er seinna riðu,pre-gen,til,,,,,X,gov (til),,,,
faðir,nkee,þeir sem verið höfðu kunnmenn eða vinir,föður,hans,gen,ur,,Y,Y,Y,,,2,,,
ferð,nvee,réðu þá það að þeir Þórir hundur snerust til,ferðar,með Verdælum og hafði hann sex hundruð manna,pre-gen,til,,,,,X,gov (til),,,,
þing,nhee,Vil eg nú biðja þig Þorgeir skorargeir að þú komir til mín er þú ríður til þings og ríðum við þá báðir saman með hvorntveggja flokkinn og höldum okkur sem best saman því að flokkur minn skal þegar búinn til öndverðs,þings,og skal eg yður í öllum hlutum trúr vera,pre-gen,til,,,,,X,gov (til),,,,
konungur,nkee,Sátu menn þeirra Sigtryggs,konungs,og Gilla jarls innar frá en utar frá Sigurði jarli sat Flosi og Þorsteinn Síðu-Hallsson og var skipuð öll höllin,gen,s,,Y,Y,Abs,,,2,,,
skip,nhfe,,skipa,til Grænlands úr Breiðafirði og Borgarfirði,gen,a,,,,,X,gov (til),,,,
lið,nhee,Bað Þorfinnur hann til sín fara þegar hann þyrfti,liðs,við,pre-gen,til,,,,,X,gov (verb),,,,
ráð,nhfe,En er þetta mál kom til Steinþórs tók hann því seinlega og veik nokkuð til,ráða,bræðra sinna,pre-gen,til,,,,,X,gov (til),,,,
þing,nheþ,En sæst var á brennumálið um sumarið á,þingi,og gerði Jón Loftsson,pre-dat,á,,,,,X,,,,,
eyjólfur,nkee-s,Móðir,Eyjólfs,,gen,s,+PN,Y,Y,N,,,2,,,
tíðindi,nhfe,Það var,tíðinda,að Laugum í Sælingsdal að Guðrún var snemma á fótum þegar er sólu var ofrað,gen,a,,,,,X,,,tið,,
bróðir,nkeþ,Raknar Víglundur við og leitar að,bróður,sínum og finnur að líf er með honum,pre-dat,að,,,,,X,,,,,
maður,nkfe,Þeir Kolbeinn sendu og menn austur í Fljótsdalshérað til Þórarins Jónssonar og báðu hann koma til liðs við sig og fór hann austan við fjóra tigu,manna,,gen,na,,,,,PART - 40,,,,,
maður,nkfe,og brenndi Björn hann inni með þremur tigum,manna,,gen,na,,,,,PART - 30,,,,,
bróðir,nkee,Hildigunnur hét dóttir Starkaðar,bróður,Flosa,gen,ur,,Y,Y,N,,,2,,,
bær,nkee,þá sá hann mannfarar miklar bæði á sæ og á landi og sótti það fólk allt til,bæjar,á Ögvaldsnesi,pre-gen,til,,,,,X,gov (til),,,,
maður,nkfe,Riðu þeir föstudag af Þingvelli út til Staðar en Böðvar kom á laugardaginn að nóni á Eyjarsanda með hálft annað hundrað,manna,,pre-gen,til,,,,,PART - 100,,,,,
lið,nhee,Síðan fóru bændur aftur til,liðs,síns og sögðu sín erindi,pre-gen,til,,,,,X,gov (til),,,,
konungur,nkee,Erlingur skakki lagði að skipi Hákonar,konungs,og stakk stafni að milli og Sigurðar skips,gen,s,,Y,N,Y,,,2,,,
þing,nheþ,« Hverja leið skaltu ríða af,þingi,Broddi,pre-dat,af,,,,,X,,,,,
faðir,nkee,en miklu var eg hræddari orðinn við heitanarorð,föður,míns en eg geymdi þá drápsins Ketils eða annarra saka Hrafns,gen,ur,,Y,N,Abs,,,2,,,
konungur,nkee,Og eitt sinn er þeir voru á galeiðum við her og vörðu enn,konungs,ríki þá kom að þeim her,gen,s,,Y,N,Abs,,,1,,,
tíðindi,nhfþ,Þessu næst er að segja frá þeim,tíðindum,að Hjörgunnur kona Hjörvarðar jarls tók sótt hættlega og þarf þar eigi að gera mikinn orðahjaldur að þessi sótt leiðir Hjörgunni til bana,pre-dat,frá,,,,,X,,,tið,,
lið,nhee,Þá lét hann hefla seglið og beið,liðs,síns,gen,s,,,,,X,gov (verb),,,,
faðir,nkee,,föður,Magnúss biskups,gen,ur,,Y,Y,N,,,2,,,
maður,nkfe,Mörður var allra,manna,málsnjallastur,gen,na,,Y,N,Abs,,,2,,,
mál,nhfþ,Síðan hitti hann þá og lét nauðsyn að,málum,væri sett eftir slík stórvirki,pre-dat,að,,,,,X,,,,,
fundur,nkee,Þá voru grið seld til,fundar,og af fundi,pre-gen,til,,,,,X,gov (til),,,,
fé,nhee,Hafði hún verið gefin honum til,fjár,,pre-gen,til,,,,,X,gov (til),,,,
fé,nhee,Þeir bræður gættu,fjár,föður síns,gen,r,,Y,N,Abs,,,2,,,
bak,nheþ,Þá snaraði biskup af baki og fékk hann eigi uppi setið öðruvís en þeir héldu honum á baki og slöðraði svo til lands en af,baki,rak Indriða af Rauðsgili og Sigurð úr Kálfanesi og varð þeim borgið,pre-dat,af,,Y,Y,N,,,,,,
faðir,nkeþ,En er hann óx upp þá mátti það brátt sjá á honum að hann mundi verða mjög ljótur og líkur,föður,sínum,pre-dat,á,,,,,X,,,,,
bjarni,nkee-s,Leifur son Eiríks rauða úr Brattahlíð fór á fund,Bjarna,Herjúlfssonar og keypti skip að honum og réð til háseta svo að þeir voru hálfur fjórði tugur manna saman,gen,na,+PN,Y,N,Abs,,,2,,,
sumar,nhfþ,Þá fór hann jafnan í hernað á,sumrum,,pre-dat,á,,,,,X,,,,,
þing,nheþ,En í ferð þeirri er Knútur konungur fór norðan með landi átti hann þing í hverju fylki en á hverju,þingi,var honum land svarið og gefnir gíslar,pre-dat,á,,,,,X,,,,,
konungur,nkee,tók þar bukk þann er mestur var og leiddi heim og lagði á söðul,konungs,,gen,s,,Y,N,Abs,,,2,,,
leið,nveþ,Heyrðu menn til sauðamanns öndverðan daginn en miður er á,leið,daginn,pre-dat,á,,,,,X,,,,,
dóttir,nveþ,En er Styr fann tal þeirra þá bað hann Halla eigi gera sér svívirðing eða skapraun í því að glepja,dóttur,hans,pre-dat,í,,,,,X,,,,,
bær,nkeþg,« Nú skaltu hafa með þér þrjár merkur silfurs og sitja hér upp frá,bænum,að Þverá,pre-dat,frá,,,,,X,,,,,
maður,nkfe,« Ekki þarf eg fleiri,manna,til þessa,gen,na,,,,,X,gov (verb),,,,
lið,nhee,« Fara til þings og krefja höfðingja,liðs,og gefa þeim fé til,gen,s,,Y,N,N,,,2,,,
sverð,nheþg,Ljótur sér nú hvar komið var og fleygir frá sér,sverðinu,til þeirra bræðra en ætlar að steypa sér útbyrðis og sér þá ei undanbragð annað,pre-dat,frá,,N,N,N,,,,,,
bróðir,nkfe,Illa hefir sá er slíkan vin hefir svo ótrúr sem Skíði er því að hann hefir sagt til þeirra,bræðra,og megið þið sjá hér annan þeirra,pre-gen,til,,,,,X,gov (til),,,,
vetur,nkfe,En þá er Ísleifur biskup andaðist var liðið frá falli Ólafs konungs Tryggvasonar nær átta tigum,vetra,,gen,a,,,,,PART - 80,,,,,
þing,nheþ,En þá handsalaði Staðar-Böðvar fyrir þá á,þingi,tíu hundruð og galt,pre-dat,á,,,,,X,,,,,
nótt,nveþ,En með því að þá var komið að,nótt,þóttust þeir eigi mega fara lengra því að þeim þótti eigi friðlegt að eiga við Hvítá um nótt,pre-dat,að,,,,,X,,,,,
hönd,nveþ,Þetta sumar sendi Órækja norður til Sighvats Snorra prest Narfason og Guðmund undan Felli og Sverting Þorleifsson til sættaumleitunar og bauð Órækja af sinni,hendi,að breyta þann veg öllu sem Sighvatur vildi vera láta,pre-dat,af,,Y,Y,N,,,,,,
höfuð,nheþ,brá síðan skikkjunni að,höfði,sér og gekk snúðigt heim til bæjar,pre-dat,að,,Y,Y,N,,,,,,
vetur,nkfe,var tíu,vetra,,gen,a,,,,,PART - 10,,,,,
skip,nheþ,En á því,skipi,er fyrst fór stóð maður við siglu,pre-dat,á,,,,,X,,,,,
maður,nkfe,Hann var,manna,mestur og fríðastur,gen,na,,Y,Y,Abs,SUPER,,,,,
morgunn,nkee,Eigi létti hann fyrr en hann kom í Sandey snemma,morguns,,gen,s,,,,,X,gov (adv),,,,
skip,nheþ,En er liðsmenn sáu það að konungur var kominn þá ruddu þeir fyrir honum og lagði hann þá að,skipi,Eindriða Jónssonar,pre-dat,að,,,,,X,,,,,
mál,nheþ,« svo að framkvæmd verði að þeirra,máli,,pre-dat,að,,,,,X,,,,,
maður,nkfe,Hann var allra,manna,hermannlegastur og kenndu því hann allir ósénn,gen,na,,Y,Y,N,SUPER,,,,,
hönd,nveþ,Þá dreymdi Þóri að maður kom að honum mikill í rauðum kyrtli og hafði hjálm á höfði og sverð búið í,hendi,,pre-dat,í,,Y,Y,N,,,,,,
þing,nheþ,Þórður Andrésson reið til þings með Gissurarsonum og veitti þeim að öllum málum á því,þingi,og Andrés faðir hans,pre-dat,á,,,,,X,,,,,
skip,nhfþ,Gekk fyrst grjóthríð mikil af,skipum,Þorsteins en hver steinn er Þorsteinn sendi gekk annaðhvort í gegnum skipin eða hafði mann,pre-dat,af,,N,N,N,,,,,,
hönd,nvfþ,og greiddu þeir féið af,höndum,er varðveitt höfðu með atgöngu Gunnlaugs,pre-dat,af,,,,,X,,,,,
mál,nhee,Það er mín tillaga að unna engis,máls,á fyrr um hérað en Hrafn og Sturla eru við,gen,s,,N,N,Abs,,,2,,,
lið,nhee,Biðjum við svo guð hjálpa okkur í þvísa ljósi og í öðru að við leggjum það undir þegnskap okkarn að við hyggjum að Mörður muni svo sækja sök þessa sem hann veit réttast og sannast og helst að lögum og hann hefurat fé borið í dóm þenna um sök þessa til,liðs,sér og hann munat bera og hann hefurat fé fundið og hann munat finna hvorki til laga né til ólaga,pre-gen,til,,Y,N,Abs,,,,,,
land,nheþ,Þorbjörn súr kom út að albyggðu,landi,,pre-dat,að,,,,,X,,,,,
bak,nheþ,Þá reiddi hann upp Ættartanga og kom sverðið í höfuð þeim er stóð að,baki,honum svo að sá fékk bana en hjó þann banahögg er fyrir stóð og drap Ingólfur þá báða í einu höggi,pre-dat,að,,Y,Y,N,,,,,,
mál,nhfe,Þá seldi og Yngvildur Sturlu fjárheimtur sínar allar og tók hann sókn og vörn allra hennar,mála,sem hann væri aðili,gen,a,,N,N,Abs,,,2,,,
faðir,nkee,,föður,Þórdísar,gen,ur,,,,,X,,,,,
þing,nhee,En um sumarið riðu menn til,þings,og fjölmenntu hvorirtveggju og var Guðmundur fjölmennari,pre-gen,til,,,,,X,gov (til),,,,
þing,nheþg,Og verða engi tíðindi á,þinginu,önnur en sekt Gísla,pre-dat,á,,,,,X,,,,,
maður,nkee,« Vel lýgur sá er með vitnum lýgur og vænti eg að eigi fáir þú vitni til að eg hafi né eina,manns,konu tekið,pre-gen,til,,Y,Y,Y,,,,,,
land,nheeg,Hún vill eigi fara til,landsins,á Hrappsstöðum,pre-gen,til,,,,,X,gov (til),,,,
kona,nvfþ,« Nú höfum vér heldur aukið engjar vorar en eg heyri það af,konum,að málnytu verði hagfátt og dugi lítt,pre-dat,af,,,,,X,,,,,
hlutur,nkfe,Síðan fór hann veg sinn en Ásdís bað honum margra,hluta,,gen,a,,,,,PART - hlutr,gov (verb),,,,
faðir,nkee,,föður,Helga,gen,ur,,Y,Y,N,,,2,,,
ferð,nvee,« Eigi er eg Gunnar en þó er eg skyldur Gunnari og vil eg bjóðast til þessar,ferðar,,gen,ar,,,,,X,gov (til),,,,
land,nheþ,Tók þá Haraldur konungur af Tósta jarli herstjórnina og allt það vald er hann hafði áður haft framar en aðrir jarlar þar í,landi,,pre-dat,í,,,,,X,gov (til),,,,
faðir,nkee,,föður,Þóreyjar,gen,ur,,,,,X,,,,,
bær,nkeþ,Var eitt hof ríkt eigi langt frá,bæ,Þórhalls er Fljótverjar héldu allir samt og höfðu þar blótveislur á hverju ári,pre-dat,frá,,,,,X,,,,,
þing,nheþ,» « Flutti eg á,þingi,,pre-dat,á,,,,,X,,,,,
tíðindi,nhfþ,Spurði Hróar Hörð að,tíðindum,en hann kvað vísu,pre-dat,að,,,,,X,,,tið,,
þing,nheþg,Þórir af Steig gaf Haraldi konungsnafn þar á,þinginu,,pre-dat,á,,,,,X,,,,,
skip,nhee,Brodd-Helgi spyr þetta og ríður hann þegar til,skips,með söðlaða hesta og ætlar að hafa Þórarin heim með sér,pre-gen,til,,,,,X,gov (til),,,,
bú,nhee,Litlu síðar fóru þeir Hákon og Sigurður til,bús,Halldórs Brynjólfssonar á Vettaland og lögðu eld í húsin og brenndu,pre-gen,til,,,,,X,gov (til),,,,
móðir,nvee,Þessi sending þótti þeim ill en,móður,þeirra verri,gen,ur,,Y,N,Abs,,,2,,,
konungur,nkee,Sá Guðröður engan annan sinn kost en gefast upp í vald Haralds,konungs,og sendi konungur hann austur á Agðir,gen,s,,Y,N,Abs,,,2,,,
snorri,nkee-s,Arf og bætur eftir þá bræður átti að taka Einar bróðir þeirra en dótturson,Snorra,en Illugi var aðili,gen,a,+PN,Y,Y,N,,,2,,,
skip,nheþg,Hann Þorsteinn dvelst eftir á,skipinu,þá er þeir konungur gengu í brott og bregður síðan Oddi á mál leynilega og spyr hvort þeir voru nokkurs af valdir um þetta mál og lét að konungur væri reiður og mundi mjög vera eftir leitað við þá,pre-dat,á,,,,,X,,,,,
maður,nkfe,Höfðu þeir þá allir saman tólf hundruð,manna,,gen,na,,,,,PART - 1200,,,,,
bróðir,nkfe,Auðkennd var ferð þeirra Droplaugarsona,bræðra,er þeir fóru úti,gen,a,,Y,Y,N,,,2,,,
þing,nheeg,» Skilja þeir síðan og er nú svo búið til,þingsins,,pre-gen,til,,,,,X,gov (til),,,,
mál,nheþ,hitti stýrimann að,máli,og lét honum heimila vist með sér ef hann vildi,pre-dat,að,,,,,X,,,,,
maður,nkfe,Um veturinn eftir var Eiríkur með Þorleifi fóstra sínum en um vorið snemma fékk Eiríkur sér sveit,manna,,gen,na,,,,,PART - sveit,,,,,
bær,nkeþ,» Síðan riðu þeir Hallfreður brott frá konungi og til þess er þeir komu í skóg þann er skammt var frá,bæ,Þorleifs,pre-dat,frá,,,,,X,,,,,
vísa,nveþ,Svo hefir Grettir sagt að hann þóttist öruggur til vígs við flesta menn þó að þrír væru saman en hann mundi eigi flýja fyrir fjórum að óreyndu en því að eins berjast við fleiri nema ætti hann hendur sínar að verja sem segir í þessari,vísu,,pre-dat,í,,,,,X,,,,,
maður,nkfe,Þenna aftan kom Indriði og margt,manna,með þeim,gen,na,,,,,PART - mart,,,,,
ráð,nheþ,Og með því að það var konungs boð þá sá hún það að,ráði,og með henni vinir hennar að heitast Þórólfi ef það væri föður hennar eigi í móti skapi,pre-dat,að,,,,,X,,,,,
land,nhee,Böðvar sendi menn til fundar við Pál um veturinn og beiddist,lands,þess er tæki fjóra tigu hundraða fyrir hennar hönd og kvað betur sóma að hún væri nokkurn veginn frá leyst,gen,s,,,,,X,gov (verb),,,,
dagur,nkee,fóru norðan um sumarið og er ekki sagt frá ferð þeirra fyrr en þeir koma í Karmtsund aftan,dags,og lögðu að við Ögvaldsnes,gen,s,,N,N,Abs,,,2,,,
mál,nhee,» Ölviður kveðst eigi vita að um þetta væri að málþarfa og kvaðst engis,máls,vilja á unna « þykir mér það jafnskaplegt að hver vor bónda sé eigi óbirgur fyrir annars eign,gen,s,,,,,X,gov (verb),,,,
móðir,nvee,En Höskuldur flutti það að Þorgerður var eigi að hans ráði gift Herjólfi en lést vera lögráðandi,móður,sinnar og skilja við það,gen,ur,,Y,N,Abs,,,2,,,
bak,nheþ,Hleypur hann af,baki,og hans menn,pre-dat,af,,Y,Y,N,,,,,,
bróðir,nkee,Þorvaldur fór úr Reykjanesi út til Snæfjalla til Bárðar,bróður,síns,pre-gen,til,,Y,Y,N,,,,,,
snorri,nkee-s,Þar tel eg fyrst sonu,Snorra,goða,gen,a,+PN,Y,Y,N,,,2,,,
konungur,nkee,Hann kemur á fund ármanns Sveins,konungs,þess er Áki hét og bað hann vista nakkvarra bæði fyrir sig og fyrir dýrið,gen,s,+PN,Y,N,Abs,,,2,,,
skip,nhee,» Narfi snýr þegar í brott og til,skips,síns og hvatar nú mjög sinni ferð,pre-gen,til,,,,,X,gov (til),,,,
maður,nkfe,leitar fjár,manna,og finnur fjölda fjár,gen,na,,Y,N,Y,,,2,,,
hönd,nveþ,Hann hafði spjót í,hendi,og vill nú annaðhvort hefna föður síns eða fá bana,pre-dat,í,,Y,Y,N,,,,,,
þing,nhee,Nú eftir þenna atburð allan saman lét konungur,þings,kveðja og kemur þar mikið fjölmenni saman,gen,s,,N,Y,Abs,,,2,??,,
skip,nhee,Skal Kjartan koma til,skips,þá er tíu vikur eru af sumri,pre-gen,til,,,,,X,gov (til),,,,
sonur,nkeþ,Þetta fór víða um sveitir og var mikið orð á,syni,þeirra Syrpu og Gests,pre-dat,á,,,,,X,,,,,
þórdísur,nvee-s,föður þeirra,Þórdísar,og Þorkötlu er Skáld-Helgi þráði,gen,ar,+PN,Y,Y,N,,,2,,,
orð,nhfe,Sighvatur tók þá til,orða,,pre-gen,til,,,,,X,gov (til),,,,
maður,nkee,Fékk Gunnar mikinn þykk af eins,manns,vopni,gen,s,,Y,N,Y,,,2,,,
sonur,nkee,Þetta kveld hið sama hafði smalamaður Hróðnýjar fundið Höskuld dauðan og fór heim og sagði Hróðnýju víg,sonar,síns,gen,ar,,Y,N,Abs,,,2,,,
dagur,nkee,En það er sagt af Þórði að hann átti síðan Ásu með ráði Víðkunns og konungs og þótti vera hinn vaskasti maður og var hann í Noregi til deyjanda,dags,,pre-gen,til,,,,,X,gov (til),,,,
skip,nhee,« Nú skuluð þér aftur hverfa til,skips,,pre-gen,til,,,,,X,gov (til),,,,
fé,nheþ,Hann var auðigur að,fé,og ódæll við að eiga,pre-dat,að,,,,,X,,,,auðigur,
fótur,nkfþ,« Heill að höndum en hrumur að,fótum,,pre-dat,að,,,,,X,,,,,
